PRODUCT_CLASS_CODE,PRODUCT_ID,PRODUCT_DESC,PRODUCT_PRICE,NEW_PRODUCT_PRICE
3002,99992,"Tom Clancy's Ghost Recon: Future Soldier (PC Game)",999.00,999.00
3002,99991,"Dell Targus Synergy 2.0 Backpack",999.00,999.00
3002,99993,"Nokia 1280 (Black)",999.00,999.00
3001,99994,"HP Deskjet 2050 All-in-One - J510a Printer",3749.00,3749.00
3001,99995,"LG MS-2049UW Solo Microwave",4800.00,4800.00
3001,99996,"Nokia Asha 200 (Graphite)",4070.00,4070.00
3000,99998,"Nikon Coolpix L810 Bridge",14987.00,14987.00
3000,99997,"Sony Xperia U (Black White)",16499.00,16499.00
3000,99999,"Samsung Galaxy Tab 2 P3100",19300.00,19300.00
3000,99990,"Quanta 4 Port USB Hub",500.00,500.00
2060,223,"Sams 21L Microwave Oven",6880.00,6880.00
2060,225,"Solmo Non-stick Sandwich Maker 750 W",1625.00,1625.00
2060,224,"Phils HL 7430 Mixer Grinder 750W",2265.00,2265.00
2060,227,"Phils Wah Collection Juicer JM12",2029.00,2029.00
2060,222,"KitchAsst Siphon Coffee Maker 500 ml",1790.00,1790.00
2060,226,"Solmo Hand Blender Fibre",1415.00,1415.00
2059,220,"Hello Kitti Lunch Bag",199.00,199.00
2059,234,"FLUFF Tote Travel Bag 35LTR",3290.00,3290.00
2059,233,"HP ODC School Bag 2.5'",799.00,799.00
2059,232,"Women Hand Bag",1600.00,1600.00
2059,231,"HP ODC Laptop Bag 15.5",3390.00,3390.00
2058,245,"GreenWud Nova Pedestal Unit",2500.00,2500.00
2058,244,"Foldable Premium Chair",4000.00,4000.00
2058,243,"Supreme Fusion Cupboard 02TB",3000.00,3000.00
2058,242,"GreenWud CT-NO-PR Coffee Table",3500.00,3500.00
2057,217,"Titan Karishma Watch",3497.00,3497.00
2057,229,"Disney Analog Watch",1600.00,1600.00
2057,228,"Adidas Analog Watch",2295.00,2295.00
2057,230,"Esprit Analog Watch",3495.00,3495.00
2056,218,"Shell Fingertip Ball Pen",25.00,25.00
2056,236,"Solo Exam SB-01 Writing Pad",350.00,350.00
2056,238,"Kasyo DJ-2100 Desktop Calculator",338.00,338.00
2056,240,"4M Post It Pad 3.5",35.00,35.00
2056,235,"Cindy HMPOC Pencil Box (Multicolor)",80.00,80.00
2056,239,"TRANS 2D A4 Size Box File",120.00,120.00
2056,241,"PK Copier A4 75 GSM White Paper Ream",285.00,285.00
2056,237,"Zamark Color Pencil Art Set",100.00,100.00
2055,212,"Samsung Galaxy On6",14000.00,14000.00
2055,211,"OnePlus 6 Smart Phone",32500.00,32500.00
2054,214,"Harry Potter",250.00,250.00
2054,213,Alchemist,150.00,150.00
2054,246,"Exam Warriors",100.00,100.00
2054,247,"Small Is Beautiful",140.00,140.00
2054,248,"To Kill a Mocking Bird",210.00,210.00
2053,216,"External Hard Disk 500 GB",3500.00,3500.00
2053,215,"Logtech M244 Optical Mouse",450.00,450.00
2053,250,"Huwi Wi-Fi Receiver 500Mbps",287.00,287.00
2052,219,"Ruf-n-Tuf Black PU Leather Belt",350.00,950.00
2052,210,"Blossoms Lehenga Choli set",3000.00,3600.00
2052,209,"Blue Jeans 34",800.00,1400.00
2052,205,"Infant Sleepwear Blue",250.00,850.00
2051,204,"Cricket Set for Boys",4500.00,5000.00
2051,208,"Doll House",3000.00,3500.00
2051,207,"Remote Control Car",2900.00,3400.00
2051,206,"Barbie Fab Gown Doll",1000.00,1500.00
2051,249,"All-in-one Board Game",450.00,950.00
2050,201,"Sky LED 102 CM TV",35000.00,37000.00
2050,202,"Sams 192 L4 Single-door Refrigerator",28000.00,30000.00
2050,203,"Jocky Speaker Music System HT32",8900.00,10900.00
2050,221,"Cybershot DWC-W325 Camera",5300.00,7300.00
